checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
3,36.0,3,4,3913.0,1,3,2.0,3,1,2.0,1,23.0,none,own,1.0,skilled,1.0,yes,yes,good
1,24.0,3,3,3021.0,1,3,2.0,1,1,2.0,1,24.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
4,10.0,3,1,1364.0,1,3,2.0,2,1,4.0,3,64.0,none,own,1.0,skilled,1.0,yes,yes,good
2,12.0,3,4,625.0,1,2,4.0,4,3,1.0,1,26.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
1,12.0,3,7,1200.0,5,3,4.0,2,1,4.0,2,23.0,bank,rent,1.0,skilled,1.0,yes,yes,good
4,12.0,3,4,707.0,1,3,4.0,3,1,2.0,1,30.0,bank,own,2.0,skilled,1.0,none,yes,good
4,24.0,4,9,2978.0,5,3,4.0,3,1,4.0,1,32.0,none,own,2.0,skilled,2.0,yes,yes,good
4,15.0,3,2,4657.0,1,3,3.0,3,1,2.0,3,30.0,none,own,1.0,skilled,1.0,yes,yes,good
4,36.0,1,6,2613.0,1,3,4.0,3,1,2.0,3,27.0,none,own,2.0,skilled,1.0,none,yes,good
2,48.0,3,4,10961.0,4,4,1.0,3,2,2.0,4,27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
1,12.0,3,3,7865.0,1,5,4.0,3,1,4.0,4,53.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,9.0,3,4,1478.0,1,4,4.0,3,1,2.0,3,22.0,none,own,1.0,skilled,1.0,none,yes,bad
1,24.0,3,3,3149.0,1,2,4.0,3,1,1.0,4,22.0,bank,for free,1.0,skilled,1.0,none,yes,good
3,36.0,3,4,4210.0,1,3,4.0,3,1,2.0,3,26.0,none,own,1.0,skilled,1.0,none,yes,bad
4,9.0,3,1,2507.0,3,5,2.0,3,1,4.0,4,51.0,none,for free,1.0,unskilled resident,1.0,none,yes,good
4,12.0,3,4,2141.0,2,4,3.0,3,1,1.0,4,35.0,none,own,1.0,skilled,1.0,none,yes,good
2,18.0,3,4,866.0,1,3,4.0,4,3,2.0,1,25.0,none,own,1.0,unskilled resident,1.0,none,yes,good
4,4.0,5,4,1544.0,1,4,2.0,3,1,1.0,1,42.0,none,own,3.0,unskilled resident,2.0,none,yes,good
1,24.0,3,4,1823.0,1,1,4.0,3,1,2.0,3,30.0,stores,own,1.0,high qualif/self emp/mgmt,2.0,none,yes,bad
2,6.0,3,1,14555.0,5,1,1.0,3,1,2.0,2,23.0,none,own,1.0,unemp/unskilled non res,1.0,yes,yes,bad
2,21.0,3,9,2767.0,2,5,4.0,1,1,2.0,3,61.0,bank,rent,2.0,unskilled resident,1.0,none,yes,bad
4,12.0,5,4,1291.0,1,3,4.0,2,1,2.0,2,35.0,none,own,2.0,skilled,1.0,none,yes,good
1,30.0,3,4,2522.0,1,5,1.0,3,3,3.0,2,39.0,none,own,1.0,skilled,2.0,none,yes,good
1,24.0,3,1,915.0,5,5,4.0,2,1,2.0,3,29.0,bank,own,1.0,skilled,1.0,none,yes,bad
4,6.0,3,4,1595.0,1,4,3.0,3,1,2.0,2,51.0,none,own,1.0,skilled,2.0,none,yes,good
1,48.0,1,2,4605.0,1,5,3.0,3,1,4.0,4,24.0,none,for free,2.0,skilled,2.0,none,yes,bad
4,12.0,5,9,1185.0,1,3,3.0,2,1,2.0,1,27.0,none,own,2.0,skilled,1.0,none,yes,good
4,12.0,2,8,3447.0,3,3,4.0,2,1,3.0,1,35.0,none,own,1.0,unskilled resident,2.0,none,yes,good
4,24.0,3,9,1258.0,1,4,4.0,3,1,1.0,1,25.0,none,own,1.0,skilled,1.0,yes,yes,good
4,12.0,5,4,717.0,1,5,4.0,3,1,4.0,1,52.0,none,own,3.0,skilled,1.0,none,yes,good
4,6.0,1,1,1204.0,2,3,4.0,3,1,1.0,4,35.0,bank,rent,1.0,skilled,1.0,none,no,good
3,24.0,3,3,1925.0,1,3,2.0,3,1,2.0,1,26.0,none,own,1.0,skilled,1.0,none,yes,good
4,18.0,3,4,433.0,1,1,3.0,2,2,4.0,1,22.0,none,rent,1.0,skilled,1.0,none,yes,bad
1,6.0,5,1,666.0,4,4,3.0,2,1,4.0,1,39.0,none,own,2.0,unskilled resident,1.0,yes,yes,good
3,12.0,3,3,2251.0,1,3,1.0,2,1,2.0,3,46.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,30.0,3,1,2150.0,1,3,4.0,2,3,2.0,4,24.0,bank,own,1.0,skilled,1.0,none,yes,bad
4,24.0,4,3,4151.0,2,3,2.0,3,1,3.0,2,35.0,none,own,2.0,skilled,1.0,none,yes,good
2,9.0,3,3,2030.0,5,4,2.0,3,1,1.0,3,24.0,none,own,1.0,skilled,1.0,yes,yes,good
2,60.0,4,4,7418.0,5,3,1.0,3,1,1.0,1,27.0,none,own,1.0,unskilled resident,1.0,none,yes,good
4,24.0,5,4,2684.0,1,3,4.0,3,1,2.0,1,35.0,none,own,2.0,unskilled resident,1.0,none,yes,good
1,12.0,2,4,2149.0,1,3,4.0,1,1,1.0,4,29.0,none,for free,1.0,skilled,1.0,none,yes,bad
4,15.0,3,2,3812.0,2,2,1.0,2,1,4.0,3,23.0,none,own,1.0,skilled,1.0,yes,yes,good
4,11.0,5,4,1154.0,2,1,4.0,2,1,4.0,1,57.0,none,own,3.0,unskilled resident,1.0,none,yes,good
1,12.0,3,3,1657.0,1,3,2.0,3,1,2.0,1,27.0,none,own,1.0,skilled,1.0,none,yes,good
1,24.0,3,4,1603.0,1,5,4.0,2,1,4.0,3,55.0,none,own,1.0,skilled,1.0,none,yes,good
1,18.0,5,1,5302.0,1,5,2.0,3,1,4.0,4,36.0,none,for free,3.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,12.0,5,7,2748.0,1,5,2.0,2,1,4.0,4,57.0,bank,for free,3.0,unskilled resident,1.0,none,yes,good
4,10.0,5,1,1231.0,1,5,3.0,3,1,4.0,1,32.0,none,own,2.0,unskilled resident,2.0,none,no,good
2,15.0,3,4,802.0,1,5,4.0,3,1,3.0,3,37.0,none,own,1.0,skilled,2.0,none,yes,bad
4,36.0,5,9,6304.0,5,5,4.0,3,1,4.0,1,36.0,none,own,2.0,skilled,1.0,none,yes,good
4,24.0,3,4,1533.0,1,2,4.0,2,1,3.0,3,38.0,stores,own,1.0,skilled,1.0,yes,yes,good
1,14.0,3,1,8978.0,1,5,1.0,1,1,4.0,2,45.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,no,bad
4,24.0,3,4,999.0,5,5,4.0,3,1,2.0,3,25.0,none,own,2.0,skilled,1.0,none,yes,good
4,18.0,3,1,2662.0,5,4,4.0,3,1,3.0,2,32.0,none,own,1.0,skilled,1.0,none,no,good
4,12.0,5,3,1402.0,3,4,3.0,2,1,4.0,3,37.0,none,rent,1.0,skilled,1.0,yes,yes,good
2,48.0,2,1,12169.0,5,1,4.0,3,2,4.0,4,36.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,48.0,3,4,3060.0,1,4,4.0,3,1,4.0,1,28.0,none,own,2.0,skilled,1.0,none,yes,bad
1,30.0,3,6,11998.0,1,2,1.0,1,1,1.0,4,34.0,none,own,1.0,unskilled resident,1.0,yes,yes,bad
4,9.0,3,4,2697.0,1,3,1.0,3,1,2.0,1,32.0,none,own,1.0,skilled,2.0,none,yes,good
4,18.0,5,4,2404.0,1,3,2.0,2,1,2.0,3,26.0,none,own,2.0,skilled,1.0,none,yes,good
1,12.0,3,3,1262.0,5,5,2.0,1,1,4.0,2,49.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
4,6.0,3,3,4611.0,1,2,1.0,2,1,4.0,2,32.0,none,own,1.0,skilled,1.0,none,yes,bad
4,24.0,3,4,1901.0,2,3,4.0,3,1,4.0,3,29.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,15.0,5,2,3368.0,4,5,3.0,3,1,4.0,4,23.0,none,rent,2.0,skilled,1.0,yes,yes,good
4,12.0,3,3,1574.0,1,3,4.0,3,1,2.0,1,50.0,none,own,1.0,skilled,1.0,none,yes,good
3,18.0,2,4,1445.0,5,4,4.0,3,1,4.0,3,49.0,bank,own,1.0,unskilled resident,1.0,none,yes,good
4,15.0,5,3,1520.0,5,5,4.0,3,1,4.0,2,63.0,none,own,1.0,skilled,1.0,none,yes,good
2,24.0,5,1,3878.0,2,2,4.0,1,1,2.0,3,37.0,none,own,1.0,skilled,1.0,yes,yes,good
1,47.0,3,1,10722.0,1,2,1.0,2,1,1.0,1,35.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
1,48.0,3,2,4788.0,1,4,4.0,3,1,3.0,2,26.0,none,own,1.0,skilled,2.0,none,yes,good
2,48.0,4,10,7582.0,2,1,2.0,3,1,4.0,4,31.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,12.0,3,4,1092.0,1,3,4.0,2,3,4.0,1,49.0,none,own,2.0,skilled,1.0,yes,yes,good
1,24.0,4,4,1024.0,1,2,4.0,4,1,4.0,1,48.0,stores,own,1.0,skilled,1.0,none,yes,bad
4,12.0,3,9,1076.0,1,3,2.0,4,1,2.0,1,26.0,none,own,1.0,skilled,1.0,yes,no,good
2,36.0,3,2,9398.0,1,2,1.0,4,1,4.0,3,28.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,24.0,5,2,6419.0,1,5,2.0,2,1,4.0,4,44.0,none,for free,2.0,high qualif/self emp/mgmt,2.0,yes,yes,good
3,42.0,5,2,4796.0,1,5,4.0,3,1,4.0,4,56.0,none,for free,1.0,skilled,1.0,none,yes,good
4,48.0,5,9,7629.0,5,5,4.0,1,1,2.0,3,46.0,bank,own,2.0,high qualif/self emp/mgmt,2.0,none,yes,good
2,48.0,3,3,9960.0,1,2,1.0,2,1,2.0,3,26.0,none,own,1.0,skilled,1.0,yes,yes,bad
4,12.0,3,2,4675.0,5,2,1.0,2,1,4.0,3,20.0,none,rent,1.0,skilled,1.0,none,yes,good
4,10.0,3,1,1287.0,5,5,4.0,3,2,2.0,2,45.0,none,own,1.0,unskilled resident,1.0,none,no,good
4,18.0,3,3,2515.0,1,3,3.0,3,1,4.0,1,43.0,none,own,1.0,skilled,1.0,yes,yes,good
2,21.0,5,3,2745.0,4,4,3.0,3,1,2.0,3,32.0,none,own,2.0,skilled,1.0,yes,yes,good
4,6.0,3,1,672.0,1,1,1.0,2,1,4.0,1,54.0,none,own,1.0,unemp/unskilled non res,1.0,yes,yes,good
2,36.0,1,4,3804.0,1,3,4.0,2,1,1.0,3,42.0,none,own,1.0,skilled,1.0,yes,yes,bad
3,24.0,5,1,1344.0,5,4,4.0,3,1,2.0,1,37.0,bank,own,2.0,unskilled resident,2.0,none,yes,bad
1,10.0,5,1,1038.0,1,4,4.0,3,2,3.0,2,49.0,none,own,2.0,skilled,1.0,yes,yes,good
4,48.0,5,1,10127.0,3,3,2.0,3,1,2.0,4,44.0,bank,for free,1.0,skilled,1.0,none,yes,bad
4,6.0,3,3,1543.0,4,3,4.0,1,1,2.0,1,33.0,none,own,1.0,skilled,1.0,none,yes,good
4,30.0,3,2,4811.0,5,4,2.0,2,1,4.0,2,24.0,stores,rent,1.0,unskilled resident,1.0,none,yes,good
1,12.0,3,4,727.0,2,2,4.0,4,1,3.0,4,33.0,none,own,1.0,unskilled resident,1.0,yes,yes,bad
2,8.0,3,3,1237.0,1,3,3.0,2,1,4.0,1,24.0,none,own,1.0,skilled,1.0,none,yes,bad
2,9.0,3,1,276.0,1,3,4.0,4,1,4.0,1,22.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
2,48.0,3,10,5381.0,5,1,3.0,3,1,4.0,4,40.0,bank,for free,1.0,unemp/unskilled non res,1.0,yes,yes,good
4,24.0,3,3,5511.0,2,3,4.0,3,1,1.0,3,25.0,stores,own,1.0,skilled,1.0,none,yes,good
3,24.0,3,3,3749.0,1,2,2.0,2,1,4.0,3,26.0,none,own,1.0,skilled,1.0,none,yes,good
2,12.0,3,1,685.0,1,4,2.0,4,1,3.0,3,25.0,bank,own,1.0,unskilled resident,1.0,none,yes,bad
3,4.0,3,1,1494.0,5,2,1.0,3,1,2.0,1,29.0,none,own,1.0,unskilled resident,2.0,none,no,good
1,36.0,2,3,2746.0,1,5,4.0,3,1,4.0,3,31.0,bank,own,1.0,skilled,1.0,none,yes,bad
1,12.0,3,3,708.0,1,3,2.0,3,3,3.0,2,38.0,none,own,1.0,unskilled resident,2.0,none,yes,good
2,24.0,3,3,4351.0,5,3,1.0,2,1,4.0,2,48.0,none,own,1.0,unskilled resident,1.0,yes,yes,good
4,12.0,5,7,701.0,1,3,4.0,3,1,2.0,3,32.0,none,own,2.0,skilled,1.0,none,yes,good
1,15.0,4,3,3643.0,1,5,1.0,2,1,4.0,2,27.0,none,own,2.0,unskilled resident,1.0,none,yes,good
2,30.0,5,1,4249.0,1,1,4.0,4,1,2.0,3,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
1,24.0,3,4,1938.0,1,2,4.0,1,1,3.0,2,32.0,none,own,1.0,skilled,1.0,none,yes,bad
1,24.0,3,2,2910.0,1,4,2.0,3,1,1.0,4,34.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
1,18.0,3,3,2659.0,4,3,4.0,3,1,2.0,3,28.0,none,own,1.0,skilled,1.0,none,yes,good
4,18.0,5,1,1028.0,1,3,4.0,2,1,3.0,1,36.0,none,own,2.0,skilled,1.0,none,yes,good
1,8.0,5,1,3398.0,1,4,1.0,3,1,4.0,1,39.0,none,own,2.0,unskilled resident,1.0,none,no,good
4,12.0,5,3,5801.0,5,5,2.0,3,1,4.0,2,49.0,none,rent,1.0,skilled,1.0,yes,yes,good
4,24.0,3,1,1525.0,4,4,4.0,2,1,3.0,3,34.0,none,own,1.0,skilled,2.0,yes,yes,good
3,36.0,3,4,4473.0,1,5,4.0,3,1,2.0,3,31.0,none,own,1.0,skilled,1.0,none,yes,good
2,6.0,3,4,1068.0,1,5,4.0,3,1,4.0,3,28.0,none,own,1.0,skilled,2.0,none,yes,good
1,24.0,5,2,6615.0,1,1,2.0,3,1,4.0,4,75.0,none,for free,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,18.0,5,7,1864.0,2,3,4.0,2,1,2.0,1,30.0,none,own,2.0,skilled,1.0,none,yes,bad
2,60.0,3,1,7408.0,2,2,4.0,2,1,2.0,2,24.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,bad
4,48.0,5,2,11590.0,2,3,2.0,2,1,4.0,3,24.0,bank,rent,2.0,unskilled resident,1.0,none,yes,bad
1,24.0,1,3,4110.0,1,5,3.0,3,1,4.0,4,23.0,bank,rent,2.0,skilled,2.0,none,yes,bad
1,6.0,5,3,3384.0,1,3,1.0,1,1,4.0,1,44.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
2,13.0,3,4,2101.0,1,2,2.0,2,3,4.0,2,23.0,none,own,1.0,unskilled resident,1.0,none,yes,good
1,15.0,3,5,1275.0,5,3,4.0,2,1,2.0,3,24.0,none,rent,1.0,skilled,1.0,none,yes,bad
1,24.0,3,3,4169.0,1,3,4.0,3,1,4.0,2,28.0,none,own,1.0,skilled,1.0,none,yes,good
2,10.0,3,3,1521.0,1,3,4.0,1,1,2.0,3,31.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,24.0,5,7,5743.0,1,2,2.0,2,1,4.0,4,24.0,none,for free,2.0,skilled,1.0,yes,yes,good
1,21.0,3,3,3599.0,1,4,1.0,2,1,4.0,3,26.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
2,18.0,3,4,3213.0,3,2,1.0,4,1,3.0,1,25.0,none,rent,1.0,skilled,1.0,none,yes,good
2,18.0,3,9,4439.0,1,5,1.0,3,2,1.0,1,33.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
3,10.0,3,1,3949.0,1,2,1.0,3,3,1.0,2,37.0,none,own,1.0,unskilled resident,2.0,none,yes,good
4,15.0,5,4,1459.0,1,3,4.0,2,1,2.0,3,43.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,13.0,5,4,882.0,1,2,4.0,3,3,4.0,1,23.0,none,own,2.0,skilled,1.0,none,yes,good
2,24.0,3,4,3758.0,3,1,1.0,2,1,4.0,4,23.0,none,rent,1.0,unemp/unskilled non res,1.0,none,yes,good
4,6.0,4,9,1743.0,2,3,1.0,3,1,2.0,1,34.0,none,own,2.0,unskilled resident,1.0,none,yes,good
2,9.0,5,7,1136.0,4,5,4.0,3,1,3.0,4,32.0,none,for free,2.0,skilled,2.0,none,yes,bad
4,9.0,3,5,1236.0,1,2,1.0,2,1,4.0,1,23.0,none,rent,1.0,skilled,1.0,yes,yes,good
2,9.0,3,3,959.0,1,3,1.0,2,1,2.0,3,29.0,none,own,1.0,skilled,1.0,none,no,bad
4,18.0,5,2,3229.0,5,1,2.0,3,1,4.0,4,38.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
1,12.0,1,4,6199.0,1,3,4.0,3,1,2.0,2,28.0,none,rent,2.0,skilled,1.0,yes,yes,bad
4,10.0,3,7,727.0,3,5,4.0,3,1,4.0,4,46.0,none,for free,1.0,skilled,1.0,yes,yes,good
2,24.0,3,1,1246.0,1,2,4.0,3,1,2.0,1,23.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
4,12.0,5,4,2331.0,5,5,1.0,3,2,4.0,1,49.0,none,own,1.0,skilled,1.0,yes,yes,good
4,36.0,4,4,4463.0,1,3,4.0,3,1,2.0,3,26.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,12.0,3,4,776.0,1,3,4.0,4,1,2.0,1,28.0,none,own,1.0,skilled,1.0,none,yes,good
1,30.0,3,3,2406.0,1,4,4.0,2,1,4.0,1,23.0,none,rent,1.0,skilled,1.0,none,yes,bad
2,18.0,3,7,1239.0,5,3,4.0,3,1,4.0,4,61.0,none,for free,1.0,skilled,1.0,none,yes,good
3,12.0,3,4,3399.0,5,5,2.0,3,1,3.0,3,37.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
3,12.0,4,1,2247.0,1,3,2.0,2,1,2.0,3,36.0,stores,own,2.0,skilled,1.0,yes,yes,good
4,6.0,3,3,1766.0,1,3,1.0,4,1,2.0,2,21.0,none,rent,1.0,skilled,1.0,none,yes,good
1,18.0,3,3,2473.0,1,1,4.0,3,1,1.0,3,25.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
4,12.0,3,9,1542.0,1,4,2.0,3,1,4.0,3,36.0,none,own,1.0,skilled,1.0,yes,yes,good
4,18.0,5,2,3850.0,1,4,3.0,3,1,1.0,3,27.0,none,own,2.0,skilled,1.0,none,yes,good
1,18.0,3,3,3650.0,1,2,1.0,2,1,4.0,3,22.0,none,rent,1.0,skilled,1.0,none,yes,good
1,36.0,3,3,3446.0,1,5,4.0,3,1,2.0,3,42.0,none,own,1.0,skilled,2.0,none,yes,bad
2,18.0,3,3,3001.0,1,4,2.0,2,1,4.0,1,40.0,none,rent,1.0,skilled,1.0,none,yes,good
4,36.0,3,1,3079.0,5,3,4.0,3,1,4.0,1,36.0,none,own,1.0,skilled,1.0,none,yes,good
4,18.0,5,4,6070.0,1,5,3.0,3,1,4.0,3,33.0,none,own,2.0,skilled,1.0,yes,yes,good
4,10.0,5,3,2146.0,1,2,1.0,2,1,3.0,1,23.0,none,rent,2.0,skilled,1.0,none,yes,good
4,60.0,5,1,13756.0,5,5,2.0,3,1,4.0,4,63.0,bank,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,60.0,2,10,14782.0,2,5,3.0,2,1,4.0,4,60.0,bank,for free,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,48.0,2,9,7685.0,1,4,2.0,2,3,4.0,3,37.0,none,rent,1.0,skilled,1.0,none,yes,bad
4,18.0,4,4,2320.0,1,1,2.0,4,1,3.0,1,34.0,none,own,2.0,skilled,1.0,none,yes,good
4,7.0,4,4,846.0,5,5,3.0,3,1,4.0,4,36.0,none,for free,1.0,skilled,1.0,none,yes,good
2,36.0,3,1,14318.0,1,5,4.0,3,1,2.0,4,57.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,6.0,5,1,362.0,2,3,4.0,2,1,4.0,3,52.0,none,own,2.0,unskilled resident,1.0,none,yes,good
1,20.0,3,3,2212.0,5,4,4.0,3,1,4.0,3,39.0,none,own,1.0,skilled,1.0,yes,yes,good
2,18.0,3,2,12976.0,1,1,3.0,2,1,4.0,4,38.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,22.0,3,1,1283.0,5,4,4.0,2,1,4.0,2,25.0,none,rent,1.0,skilled,1.0,none,yes,good
3,12.0,3,1,1330.0,1,2,4.0,3,1,1.0,1,26.0,none,own,1.0,skilled,1.0,none,yes,good
4,30.0,4,9,4272.0,2,3,2.0,3,1,2.0,2,26.0,none,own,2.0,unskilled resident,1.0,none,yes,good
4,18.0,5,4,2238.0,1,3,2.0,2,1,1.0,3,25.0,none,own,2.0,skilled,1.0,none,yes,good
4,18.0,3,4,1126.0,5,2,4.0,2,1,2.0,1,21.0,none,rent,1.0,skilled,1.0,yes,yes,good
2,18.0,5,3,7374.0,1,1,4.0,3,1,4.0,2,40.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,15.0,5,9,2326.0,3,3,2.0,3,1,4.0,3,27.0,bank,own,1.0,skilled,1.0,none,yes,good
4,9.0,3,9,1449.0,1,4,3.0,2,1,2.0,3,27.0,none,own,2.0,skilled,1.0,none,yes,good
4,18.0,3,1,1820.0,1,3,2.0,4,1,2.0,2,30.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
2,12.0,3,3,983.0,4,2,1.0,2,1,4.0,1,19.0,none,rent,1.0,unskilled resident,1.0,none,yes,good
1,36.0,3,1,3249.0,1,4,2.0,3,1,4.0,4,39.0,bank,for free,1.0,high qualif/self emp/mgmt,2.0,yes,yes,good
1,6.0,5,4,1957.0,1,4,1.0,2,1,4.0,3,31.0,none,own,1.0,skilled,1.0,none,yes,good
4,9.0,5,3,2406.0,1,1,2.0,3,1,3.0,3,31.0,none,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
2,39.0,4,7,11760.0,2,4,2.0,3,1,3.0,4,32.0,none,rent,1.0,skilled,1.0,yes,yes,good
1,12.0,3,3,2578.0,1,1,3.0,2,1,4.0,4,55.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
1,36.0,5,3,2348.0,1,3,3.0,4,1,2.0,2,46.0,none,own,2.0,skilled,1.0,yes,yes,good
2,12.0,3,1,1223.0,1,5,1.0,1,1,1.0,1,46.0,none,rent,2.0,skilled,1.0,none,yes,bad
4,24.0,5,4,1516.0,4,3,4.0,2,1,1.0,1,43.0,none,own,2.0,unskilled resident,1.0,none,yes,good
4,18.0,3,4,1473.0,1,2,3.0,4,1,4.0,1,39.0,none,own,1.0,skilled,1.0,yes,yes,good
2,18.0,5,9,1887.0,5,3,4.0,4,1,4.0,1,28.0,bank,own,2.0,skilled,1.0,none,yes,good
4,24.0,4,9,8648.0,1,2,2.0,3,1,2.0,3,27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
4,14.0,4,1,802.0,1,3,4.0,3,1,2.0,3,27.0,none,own,2.0,unskilled resident,1.0,none,yes,good
2,18.0,4,1,2899.0,5,5,4.0,3,1,4.0,3,43.0,none,own,1.0,skilled,2.0,none,yes,good
2,24.0,3,4,2039.0,1,2,1.0,4,1,1.0,2,22.0,none,own,1.0,skilled,1.0,yes,yes,bad
4,24.0,5,2,2197.0,5,4,4.0,3,1,4.0,3,43.0,none,own,2.0,skilled,2.0,yes,yes,good
1,15.0,3,4,1053.0,1,2,4.0,4,1,2.0,1,27.0,none,own,1.0,skilled,1.0,none,no,good
4,24.0,3,4,3235.0,3,5,3.0,1,1,2.0,3,26.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
3,12.0,5,1,939.0,3,4,4.0,4,1,2.0,1,28.0,none,own,3.0,skilled,1.0,yes,yes,bad
2,24.0,3,4,1967.0,1,5,4.0,2,1,4.0,3,20.0,none,own,1.0,skilled,1.0,yes,yes,good
4,33.0,5,2,7253.0,1,4,3.0,3,1,2.0,3,35.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,12.0,5,9,2292.0,1,1,4.0,3,1,2.0,3,42.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,10.0,3,1,1597.0,3,3,3.0,3,1,2.0,4,40.0,none,rent,1.0,unskilled resident,2.0,none,no,good
1,24.0,3,1,1381.0,5,3,4.0,2,1,2.0,2,35.0,none,own,1.0,skilled,1.0,none,yes,bad
4,36.0,5,2,5842.0,1,5,2.0,3,1,2.0,2,35.0,none,own,2.0,skilled,2.0,yes,yes,good
1,12.0,3,1,2579.0,1,2,4.0,3,1,1.0,1,33.0,none,own,1.0,unskilled resident,2.0,none,yes,bad
1,18.0,4,7,8471.0,5,3,1.0,2,1,2.0,3,23.0,none,rent,2.0,skilled,1.0,yes,yes,good
4,21.0,3,1,2782.0,3,4,1.0,2,1,2.0,3,31.0,bank,own,1.0,high qualif/self emp/mgmt,1.0,none,yes,good
2,18.0,3,1,1042.0,5,3,4.0,2,1,2.0,2,33.0,none,own,1.0,skilled,1.0,none,yes,bad
4,15.0,3,1,3186.0,4,4,2.0,2,1,3.0,3,20.0,none,rent,1.0,skilled,1.0,none,yes,good
2,12.0,3,2,2028.0,5,3,4.0,3,1,2.0,3,30.0,none,own,1.0,skilled,1.0,none,yes,good
2,12.0,5,1,958.0,1,4,2.0,3,1,3.0,1,47.0,none,own,2.0,unskilled resident,2.0,none,yes,good
4,21.0,4,3,1591.0,2,4,4.0,3,1,3.0,1,34.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
2,12.0,3,3,2762.0,5,5,1.0,2,1,2.0,2,25.0,bank,own,1.0,skilled,1.0,yes,yes,bad
2,18.0,3,2,2779.0,1,3,1.0,4,1,3.0,3,21.0,none,rent,1.0,skilled,1.0,yes,yes,good
4,28.0,5,4,2743.0,1,5,4.0,3,1,2.0,3,29.0,none,own,2.0,skilled,1.0,none,yes,good
4,18.0,5,4,1149.0,4,3,4.0,3,1,3.0,1,46.0,none,own,2.0,skilled,1.0,none,yes,good
4,9.0,3,3,1313.0,1,5,1.0,3,1,4.0,3,20.0,none,own,1.0,skilled,1.0,none,yes,good
1,18.0,5,6,1190.0,1,1,2.0,2,1,4.0,4,55.0,none,for free,3.0,unemp/unskilled non res,2.0,none,yes,bad
4,5.0,3,9,3448.0,1,4,1.0,3,1,4.0,1,74.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,24.0,3,10,11328.0,1,3,2.0,3,2,3.0,3,29.0,bank,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
1,6.0,5,3,1872.0,1,1,4.0,3,1,4.0,4,36.0,none,for free,3.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,24.0,5,6,2058.0,1,3,4.0,1,1,2.0,1,33.0,none,own,2.0,skilled,1.0,yes,yes,good
1,9.0,3,3,2136.0,1,3,3.0,3,1,2.0,1,25.0,none,own,1.0,skilled,1.0,none,yes,good
2,12.0,3,4,1484.0,5,3,2.0,4,1,1.0,1,25.0,none,own,1.0,skilled,1.0,yes,yes,bad
